Ibateguara,AL,NORDESTE,2,1,2018
Igaci,AL,NORDESTE,1,1,2018
Inhapi,AL,NORDESTE,1,1,2018
Maceió,AL,NORDESTE,35,1,2018
Maragogi,AL,NORDESTE,1,1,2018
Maravilha,AL,NORDESTE,1,1,2018
Matriz De Camaragibe,AL,NORDESTE,3,1,2018
Messias,AL,NORDESTE,2,1,2018
Minador Do Negrão,AL,NORDESTE,1,1,2018
Murici,AL,NORDESTE,1,1,2018
Novo Lino,AL,NORDESTE,1,1,2018
Palmeira Dos Índios,AL,NORDESTE,2,1,2018
Penedo,AL,NORDESTE,4,1,2018
Porto Calvo,AL,NORDESTE,5,1,2018
Rio Largo,AL,NORDESTE,6,1,2018
Rio Largo,AL,NORDESTE,2,1,2018
Roteiro,AL,NORDESTE,2,1,2018
Santa Luzia Do Norte,AL,NORDESTE,1,1,2018
Santana Do Ipanema,AL,NORDESTE,2,1,2018
São Luís Do Quitunde,AL,NORDESTE,2,1,2018
São Miguel Dos Campos,AL,NORDESTE,5,1,2018
São Sebastião,AL,NORDESTE,2,1,2018
Teotônio Vilela,AL,NORDESTE,2,1,2018
União Dos Palmares,AL,NORDESTE,1,1,2018
Viçosa,AL,NORDESTE,1,1,2018
Arapiraca,AL,NORDESTE,2,1,2018
Arapiraca,AL,NORDESTE,4,1,2018
Barra De Santo Antônio,AL,NORDESTE,1,1,2018
Barra De São Miguel,AL,NORDESTE,2,1,2018
Boca Da Mata,AL,NORDESTE,1,1,2018
Cajueiro,AL,NORDESTE,1,1,2018
Chã Preta,AL,NORDESTE,1,1,2018
Coité Do Nóia,AL,NORDESTE,1,1,2018
Colônia Leopoldina,AL,NORDESTE,2,1,2018
Coruripe,AL,NORDESTE,1,1,2018
Delmiro Gouveia,AL,NORDESTE,2,1,2018
Flexeiras,AL,NORDESTE,1,1,2018
Ibateguara,AL,NORDESTE,1,1,2018
Lagoa Da Canoa,AL,NORDESTE,1,1,2018
Maceió,AL,NORDESTE,38,1,2018
Major Isidoro,AL,NORDESTE,1,1,2018
Marechal Deodoro,AL,NORDESTE,1,1,2018
Matriz De Camaragibe,AL,NORDESTE,1,1,2018
Messias,AL,NORDESTE,1,1,2018
Murici,AL,NORDESTE,1,1,2018
Olho D Água Do Casado,AL,NORDESTE,1,1,2018
Palmeira Dos Índios,AL,NORDESTE,2,1,2018
Pariconha,AL,NORDESTE,1,1,2018
Paripueira,AL,NORDESTE,1,1,2018
Penedo,AL,NORDESTE,1,1,2018
Piaçabuçu,AL,NORDESTE,1,1,2018
Pilar,AL,NORDESTE,1,1,2018
Porto Calvo,AL,NORDESTE,2,1,2018
Porto Calvo,AL,NORDESTE,1,1,2018
Quebrangulo,AL,NORDESTE,1,1,2018
Rio Largo,AL,NORDESTE,5,1,2018
São José Da Laje,AL,NORDESTE,1,1,2018
São José Da Tapera,AL,NORDESTE,2,1,2018
São Luís Do Quitunde,AL,NORDESTE,1,1,2018
São Miguel Dos Campos,AL,NORDESTE,2,1,2018
São Miguel Dos Milagres,AL,NORDESTE,1,1,2018
Satuba,AL,NORDESTE,1,1,2018
União Dos Palmares,AL,NORDESTE,1,1,2018
Viçosa,AL,NORDESTE,1,1,2018
Água Branca,AL,NORDESTE,1,1,2018
Anadia,AL,NORDESTE,1,1,2018
Arapiraca,AL,NORDESTE,5,1,2018
Atalaia,AL,NORDESTE,1,1,2018
Campo Alegre,AL,NORDESTE,1,1,2018
Campo Grande,AL,NORDESTE,2,1,2018
Coité Do Nóia,AL,NORDESTE,1,1,2018
Colônia Leopoldina,AL,NORDESTE,1,1,2018
Coruripe,AL,NORDESTE,1,1,2018
Delmiro Gouveia,AL,NORDESTE,1,1,2018
Estrela De Alagoas,AL,NORDESTE,1,1,2018
Feira Grande,AL,NORDESTE,1,1,2018
Girau Do Ponciano,AL,NORDESTE,3,1,2018
Igaci,AL,NORDESTE,1,1,2018
Jequiá Da Praia,AL,NORDESTE,1,1,2018
Junqueiro,AL,NORDESTE,2,1,2018
Maceió,AL,NORDESTE,40,1,2018
Maceió,AL,NORDESTE,4,1,2018
Major Isidoro,AL,NORDESTE,1,1,2018
Maragogi,AL,NORDESTE,2,1,2018
Maravilha,AL,NORDESTE,1,1,2018
Marechal Deodoro,AL,NORDESTE,1,1,2018
Murici,AL,NORDESTE,2,1,2018
Novo Lino,AL,NORDESTE,3,1,2018
Olho D Água Das Flores,AL,NORDESTE,1,1,2018
Palmeira Dos Índios,AL,NORDESTE,2,1,2018
Pão De Açúcar,AL,NORDESTE,1,1,2018
Pariconha,AL,NORDESTE,1,1,2018
Paripueira,AL,NORDESTE,1,1,2018
Passo De Camaragibe,AL,NORDESTE,1,1,2018
Penedo,AL,NORDESTE,1,1,2018
Pilar,AL,NORDESTE,3,1,2018
Piranhas,AL,NORDESTE,1,1,2018
Porto Calvo,AL,NORDESTE,1,1,2018
Porto Real Do Colégio,AL,NORDESTE,1,1,2018
Rio Largo,AL,NORDESTE,2,1,2018
Rio Largo,AL,NORDESTE,6,1,2018
Roteiro,AL,NORDESTE,1,1,2018
Santana Do Ipanema,AL,NORDESTE,1,1,2018
Santana Do Mundaú,AL,NORDESTE,1,1,2018
São José Da Tapera,AL,NORDESTE,2,1,2018
São Sebastião,AL,NORDESTE,2,1,2018
Teotônio Vilela,AL,NORDESTE,1,1,2018
Viçosa,AL,NORDESTE,1,1,2018
Anadia,AL,NORDESTE,1,1,2018
Arapiraca,AL,NORDESTE,5,1,2018
Atalaia,AL,NORDESTE,3,1,2018
Barra De Santo Antônio,AL,NORDESTE,1,1,2018
Barra De São Miguel,AL,NORDESTE,1,1,2018
Batalha,AL,NORDESTE,1,1,2018
Boca Da Mata,AL,NORDESTE,2,1,2018
Branquinha,AL,NORDESTE,1,1,2018
Campo Alegre,AL,NORDESTE,1,1,2018
Canapi,AL,NORDESTE,2,1,2018
Colônia Leopoldina,AL,NORDESTE,2,1,2018
Coqueiro Seco,AL,NORDESTE,1,1,2018
Craíbas,AL,NORDESTE,2,1,2018
Delmiro Gouveia,AL,NORDESTE,1,1,2018
Feira Grande,AL,NORDESTE,1,1,2018
Flexeiras,AL,NORDESTE,1,1,2018
Igaci,AL,NORDESTE,1,1,2018
Igreja Nova,AL,NORDESTE,2,1,2018
Inhapi,AL,NORDESTE,1,1,2018
Japaratinga,AL,NORDESTE,1,1,2018
Limoeiro De Anadia,AL,NORDESTE,1,1,2018
Maceió,AL,NORDESTE,32,1,2018
Maceió,AL,NORDESTE,3,1,2018
Marechal Deodoro,AL,NORDESTE,1,1,2018
Maribondo,AL,NORDESTE,1,1,2018
Messias,AL,NORDESTE,3,1,2018
Olho D Água Do Casado,AL,NORDESTE,1,1,2018
Ouro Branco,AL,NORDESTE,1,1,2018
Palmeira Dos Índios,AL,NORDESTE,3,1,2018
Penedo,AL,NORDESTE,2,1,2018
Pilar,AL,NORDESTE,1,1,2018
Pilar,AL,NORDESTE,2,1,2018
Porto Real Do Colégio,AL,NORDESTE,1,1,2018
Rio Largo,AL,NORDESTE,5,1,2018
Roteiro,AL,NORDESTE,1,1,2018
Santana Do Mundaú,AL,NORDESTE,1,1,2018
São Miguel Dos Campos,AL,NORDESTE,1,1,2018
São Miguel Dos Milagres,AL,NORDESTE,1,1,2018
São Sebastião,AL,NORDESTE,1,1,2018
Satuba,AL,NORDESTE,1,1,2018
Senador Rui Palmeira,AL,NORDESTE,3,1,2018
Anadia,AL,NORDESTE,2,1,2018
Anadia,AL,NORDESTE,1,1,2018
Arapiraca,AL,NORDESTE,3,1,2018
Atalaia,AL,NORDESTE,1,1,2018
Barra De Santo Antônio,AL,NORDESTE,1,1,2018
Belo Monte,AL,NORDESTE,1,1,2018
Campestre,AL,NORDESTE,1,1,2018
Campo Alegre,AL,NORDESTE,1,1,2018
Colônia Leopoldina,AL,NORDESTE,2,1,2018
Coruripe,AL,NORDESTE,1,1,2018
Craíbas,AL,NORDESTE,1,1,2018
Flexeiras,AL,NORDESTE,1,1,2018
Igaci,AL,NORDESTE,1,1,2018
Joaquim Gomes,AL,NORDESTE,1,1,2018
Junqueiro,AL,NORDESTE,1,1,2018
Maceió,AL,NORDESTE,28,1,2018
Maceió,AL,NORDESTE,8,1,2018
Maragogi,AL,NORDESTE,4,1,2018
Marechal Deodoro,AL,NORDESTE,3,1,2018
Matriz De Camaragibe,AL,NORDESTE,2,1,2018
Messias,AL,NORDESTE,3,1,2018
Murici,AL,NORDESTE,3,1,2018
Ouro Branco,AL,NORDESTE,1,1,2018
Palmeira Dos Índios,AL,NORDESTE,2,1,2018
Pão De Açúcar,AL,NORDESTE,3,1,2018
Piranhas,AL,NORDESTE,2,1,2018
Porto Real Do Colégio,AL,NORDESTE,1,1,2018
Rio Largo,AL,NORDESTE,7,1,2018
Santana Do Ipanema,AL,NORDESTE,1,1,2018
São José Da Tapera,AL,NORDESTE,2,1,2018
São Luís Do Quitunde,AL,NORDESTE,3,1,2018
São Miguel Dos Campos,AL,NORDESTE,1,1,2018
São Sebastião,AL,NORDESTE,1,1,2018
Satuba,AL,NORDESTE,1,1,2018
União Dos Palmares,AL,NORDESTE,1,1,2018
Arapiraca,AL,NORDESTE,2,1,2018
Atalaia,AL,NORDESTE,4,1,2018
Barra De Santo Antônio,AL,NORDESTE,1,1,2018
Cajueiro,AL,NORDESTE,1,1,2018
Campo Alegre,AL,NORDESTE,1,1,2018
Canapi,AL,NORDESTE,2,1,2018
Capela,AL,NORDESTE,1,1,2018
Carneiros,AL,NORDESTE,1,1,2018
Coité Do Nóia,AL,NORDESTE,1,1,2018
Colônia Leopoldina,AL,NORDESTE,3,1,2018
Coqueiro Seco,AL,NORDESTE,1,1,2018
Craíbas,AL,NORDESTE,1,1,2018
Feira Grande,AL,NORDESTE,1,1,2018
Feliz Deserto,AL,NORDESTE,1,1,2018
Ibateguara,AL,NORDESTE,1,1,2018
Inhapi,AL,NORDESTE,1,1,2018
Jequiá Da Praia,AL,NORDESTE,1,1,2018
Limoeiro De Anadia,AL,NORDESTE,3,1,2018
Maceió,AL,NORDESTE,33,1,2018
Marechal Deodoro,AL,NORDESTE,1,1,2018
Matriz De Camaragibe,AL,NORDESTE,1,1,2018
Murici,AL,NORDESTE,2,1,2018
Olho D Água Das Flores,AL,NORDESTE,1,1,2018
Palmeira Dos Índios,AL,NORDESTE,2,1,2018
Pão De Açúcar,AL,NORDESTE,1,1,2018
Paripueira,AL,NORDESTE,1,1,2018
Penedo,AL,NORDESTE,1,1,2018
Porto Calvo,AL,NORDESTE,3,1,2018
Rio Largo,AL,NORDESTE,4,1,2018
Roteiro,AL,NORDESTE,1,1,2018
São José Da Laje,AL,NORDESTE,2,1,2018
São Luís Do Quitunde,AL,NORDESTE,1,1,2018
São Luís Do Quitunde,AL,NORDESTE,2,1,2018
São Miguel Dos Campos,AL,NORDESTE,2,1,2018
Senador Rui Palmeira,AL,NORDESTE,1,1,2018
Taquarana,AL,NORDESTE,1,1,2018
Arapiraca,AL,NORDESTE,8,1,2018
Atalaia,AL,NORDESTE,2,1,2018
Barra De São Miguel,AL,NORDESTE,1,1,2018
Batalha,AL,NORDESTE,2,1,2018
Boca Da Mata,AL,NORDESTE,1,1,2018
Cajueiro,AL,NORDESTE,1,1,2018
Campestre,AL,NORDESTE,1,1,2018
Campo Alegre,AL,NORDESTE,4,1,2018
Colônia Leopoldina,AL,NORDESTE,1,1,2018
Coqueiro Seco,AL,NORDESTE,1,1,2018
Coruripe,AL,NORDESTE,1,1,2018
Delmiro Gouveia,AL,NORDESTE,1,1,2018
Flexeiras,AL,NORDESTE,2,1,2018
Girau Do Ponciano,AL,NORDESTE,2,1,2018
Ibateguara,AL,NORDESTE,1,1,2018
Igaci,AL,NORDESTE,1,1,2018
Igreja Nova,AL,NORDESTE,1,1,2018
Inhapi,AL,NORDESTE,1,1,2018
Jaramataia,AL,NORDESTE,1,1,2018
Joaquim Gomes,AL,NORDESTE,1,1,2018
Jundiá,AL,NORDESTE,1,1,2018
Junqueiro,AL,NORDESTE,1,1,2018
Maceió,AL,NORDESTE,2,1,2018
Maceió,AL,NORDESTE,31,1,2018
Marechal Deodoro,AL,NORDESTE,3,1,2018
Matriz De Camaragibe,AL,NORDESTE,1,1,2018
Messias,AL,NORDESTE,2,1,2018
Murici,AL,NORDESTE,1,1,2018
Palmeira Dos Índios,AL,NORDESTE,3,1,2018
Paulo Jacinto,AL,NORDESTE,1,1,2018
Piaçabuçu,AL,NORDESTE,1,1,2018
Pilar,AL,NORDESTE,2,1,2018
Porto Calvo,AL,NORDESTE,3,1,2018
Porto Real Do Colégio,AL,NORDESTE,1,1,2018
Rio Largo,AL,NORDESTE,3,1,2018
Roteiro,AL,NORDESTE,1,1,2018
Santa Luzia Do Norte,AL,NORDESTE,2,1,2018
Santa Luzia Do Norte,AL,NORDESTE,1,1,2018
Santana Do Ipanema,AL,NORDESTE,3,1,2018
São Brás,AL,NORDESTE,1,1,2018
São José Da Laje,AL,NORDESTE,1,1,2018
São José Da Tapera,AL,NORDESTE,2,1,2018
São Miguel Dos Campos,AL,NORDESTE,1,1,2018
São Sebastião,AL,NORDESTE,1,1,2018
Satuba,AL,NORDESTE,1,1,2018
Taquarana,AL,NORDESTE,1,1,2018
Teotônio Vilela,AL,NORDESTE,3,1,2018
União Dos Palmares,AL,NORDESTE,2,1,2018
Viçosa,AL,NORDESTE,1,1,2018
Anadia,AL,NORDESTE,1,1,2018
Arapiraca,AL,NORDESTE,3,1,2018
Arapiraca,AL,NORDESTE,10,1,2018
Atalaia,AL,NORDESTE,2,1,2018
Barra De São Miguel,AL,NORDESTE,1,1,2018
Boca Da Mata,AL,NORDESTE,1,1,2018
Canapi,AL,NORDESTE,1,1,2018
Capela,AL,NORDESTE,2,1,2018
Coité Do Nóia,AL,NORDESTE,1,1,2018
Coruripe,AL,NORDESTE,1,1,2018
Craíbas,AL,NORDESTE,1,1,2018
Delmiro Gouveia,AL,NORDESTE,1,1,2018
Feliz Deserto,AL,NORDESTE,1,1,2018
Flexeiras,AL,NORDESTE,2,1,2018
Ibateguara,AL,NORDESTE,1,1,2018
Inhapi,AL,NORDESTE,2,1,2018
Jacaré Dos Homens,AL,NORDESTE,1,1,2018
Japaratinga,AL,NORDESTE,1,1,2018
Joaquim Gomes,AL,NORDESTE,1,1,2018
Junqueiro,AL,NORDESTE,1,1,2018
Lagoa Da Canoa,AL,NORDESTE,1,1,2018
Limoeiro De Anadia,AL,NORDESTE,1,1,2018
Maceió,AL,NORDESTE,26,1,2018
Maceió,AL,NORDESTE,4,1,2018
Maragogi,AL,NORDESTE,3,1,2018
Marechal Deodoro,AL,NORDESTE,3,1,2018
Mata Grande,AL,NORDESTE,1,1,2018
Matriz De Camaragibe,AL,NORDESTE,2,1,2018
Monteirópolis,AL,NORDESTE,2,1,2018
Monteirópolis,AL,NORDESTE,2,1,2018
Olho D Água Das Flores,AL,NORDESTE,1,1,2018
Palmeira Dos Índios,AL,NORDESTE,1,1,2018
Penedo,AL,NORDESTE,3,1,2018
Porto Real Do Colégio,AL,NORDESTE,1,1,2018
Quebrangulo,AL,NORDESTE,1,1,2018
Rio Largo,AL,NORDESTE,3,1,2018
Roteiro,AL,NORDESTE,1,1,2018
Santa Luzia Do Norte,AL,NORDESTE,1,1,2018
Santana Do Ipanema,AL,NORDESTE,1,1,2018
Santana Do Mundaú,AL,NORDESTE,1,1,2018
São Luís Do Quitunde,AL,NORDESTE,1,1,2018
União Dos Palmares,AL,NORDESTE,2,1,2018
Viçosa,AL,NORDESTE,1,1,2018
Arapiraca,AL,NORDESTE,8,1,2018
Atalaia,AL,NORDESTE,3,1,2018
Barra De São Miguel,AL,NORDESTE,1,1,2018
Boca Da Mata,AL,NORDESTE,3,1,2018
Branquinha,AL,NORDESTE,1,1,2018
Cajueiro,AL,NORDESTE,3,1,2018
Campestre,AL,NORDESTE,1,1,2018
Campo Alegre,AL,NORDESTE,1,1,2018
Canapi,AL,NORDESTE,1,1,2018
Capela,AL,NORDESTE,3,1,2018
Carneiros,AL,NORDESTE,1,1,2018
Colônia Leopoldina,AL,NORDESTE,2,1,2018
Coruripe,AL,NORDESTE,1,1,2018
Delmiro Gouveia,AL,NORDESTE,1,1,2018
Estrela De Alagoas,AL,NORDESTE,1,1,2018
Limoeiro De Anadia,AL,NORDESTE,1,1,2018
Maceió,AL,NORDESTE,30,1,2018
Maceió,AL,NORDESTE,2,1,2018
Major Isidoro,AL,NORDESTE,1,1,2018
Marechal Deodoro,AL,NORDESTE,1,1,2018
Mata Grande,AL,NORDESTE,2,1,2018
Matriz De Camaragibe,AL,NORDESTE,3,1,2018
Messias,AL,NORDESTE,1,1,2018
Olho D Água Das Flores,AL,NORDESTE,1,1,2018
Olho D Água Do Casado,AL,NORDESTE,1,1,2018
Palmeira Dos Índios,AL,NORDESTE,1,1,2018
Penedo,AL,NORDESTE,1,1,2018
Piranhas,AL,NORDESTE,2,1,2018
Porto Calvo,AL,NORDESTE,2,1,2018
Santa Luzia Do Norte,AL,NORDESTE,1,1,2018
São José Da Laje,AL,NORDESTE,1,1,2018
São Luís Do Quitunde,AL,NORDESTE,1,1,2018
São Miguel Dos Campos,AL,NORDESTE,2,1,2018
São Sebastião,AL,NORDESTE,2,1,2018
Satuba,AL,NORDESTE,1,1,2018
Taquarana,AL,NORDESTE,1,1,2018
Teotônio Vilela,AL,NORDESTE,1,1,2018
União Dos Palmares,AL,NORDESTE,1,1,2018
Viçosa,AL,NORDESTE,3,1,2018
Arapiraca,AL,NORDESTE,4,1,2018
Atalaia,AL,NORDESTE,2,1,2018
Barra De São Miguel,AL,NORDESTE,1,1,2018
Boca Da Mata,AL,NORDESTE,1,1,2018
Campo Alegre,AL,NORDESTE,2,1,2018
Canapi,AL,NORDESTE,1,1,2018
Carneiros,AL,NORDESTE,1,1,2018
Colônia Leopoldina,AL,NORDESTE,3,1,2018
Coqueiro Seco,AL,NORDESTE,2,1,2018
Coruripe,AL,NORDESTE,1,1,2018
Craíbas,AL,NORDESTE,1,1,2018
Delmiro Gouveia,AL,NORDESTE,4,1,2018
Feira Grande,AL,NORDESTE,1,1,2018
Flexeiras,AL,NORDESTE,1,1,2018
Girau Do Ponciano,AL,NORDESTE,1,1,2018
Inhapi,AL,NORDESTE,2,1,2018
Jaramataia,AL,NORDESTE,1,1,2018
Joaquim Gomes,AL,NORDESTE,1,1,2018
Junqueiro,AL,NORDESTE,1,1,2018
Lagoa Da Canoa,AL,NORDESTE,2,1,2018
Maceió,AL,NORDESTE,26,1,2018
Major Isidoro,AL,NORDESTE,1,1,2018
Maragogi,AL,NORDESTE,2,1,2018
Maravilha,AL,NORDESTE,1,1,2018
Matriz De Camaragibe,AL,NORDESTE,1,1,2018
Messias,AL,NORDESTE,1,1,2018
Novo Lino,AL,NORDESTE,1,1,2018
Olho D Água Das Flores,AL,NORDESTE,1,1,2018
Olho D Água Do Casado,AL,NORDESTE,1,1,2018
Pão De Açúcar,AL,NORDESTE,1,1,2018
Penedo,AL,NORDESTE,1,1,2018
Pilar,AL,NORDESTE,1,1,2018
Porto Calvo,AL,NORDESTE,2,1,2018
Rio Largo,AL,NORDESTE,5,1,2018
Santa Luzia Do Norte,AL,NORDESTE,1,1,2018
Santana Do Ipanema,AL,NORDESTE,1,1,2018
São José Da Laje,AL,NORDESTE,1,1,2018
São José Da Tapera,AL,NORDESTE,1,1,2018
Satuba,AL,NORDESTE,1,1,2018
Senador Rui Palmeira,AL,NORDESTE,1,1,2018
Taquarana,AL,NORDESTE,1,1,2018
Teotônio Vilela,AL,NORDESTE,2,1,2018
Traipu,AL,NORDESTE,1,1,2018
União Dos Palmares,AL,NORDESTE,5,1,2018
Viçosa,AL,NORDESTE,1,1,2018
Anadia,AL,NORDESTE,1,1,2018
Arapiraca,AL,NORDESTE,9,1,2018
Arapiraca,AL,NORDESTE,2,1,2018
Atalaia,AL,NORDESTE,3,1,2018
Barra De Santo Antônio,AL,NORDESTE,1,1,2018
Batalha,AL,NORDESTE,1,1,2018
Boca Da Mata,AL,NORDESTE,1,1,2018
Campo Alegre,AL,NORDESTE,3,1,2018
Canapi,AL,NORDESTE,1,1,2018
Capela,AL,NORDESTE,2,1,2018
Colônia Leopoldina,AL,NORDESTE,4,1,2018
Coruripe,AL,NORDESTE,1,1,2018
Craíbas,AL,NORDESTE,1,1,2018
Estrela De Alagoas,AL,NORDESTE,1,1,2018
Ibateguara,AL,NORDESTE,1,1,2018
Igreja Nova,AL,NORDESTE,2,1,2018
Igreja Nova,AL,NORDESTE,1,1,2018
Jaramataia,AL,NORDESTE,1,1,2018
Lagoa Da Canoa,AL,NORDESTE,1,1,2018
Maceió,AL,NORDESTE,2,1,2018
Maceió,AL,NORDESTE,23,1,2018
Major Isidoro,AL,NORDESTE,1,1,2018
Maragogi,AL,NORDESTE,3,1,2018
Marechal Deodoro,AL,NORDESTE,5,1,2018
Maribondo,AL,NORDESTE,1,1,2018
Messias,AL,NORDESTE,2,1,2018
Olivença,AL,NORDESTE,1,1,2018
Palmeira Dos Índios,AL,NORDESTE,1,1,2018
Penedo,AL,NORDESTE,2,1,2018
Piaçabuçu,AL,NORDESTE,1,1,2018
Pilar,AL,NORDESTE,2,1,2018
Porto Calvo,AL,NORDESTE,1,1,2018
Porto Real Do Colégio,AL,NORDESTE,3,1,2018
Rio Largo,AL,NORDESTE,3,1,2018
Santana Do Ipanema,AL,NORDESTE,1,1,2018
São José Da Laje,AL,NORDESTE,1,1,2018
São Miguel Dos Campos,AL,NORDESTE,1,1,2018
Satuba,AL,NORDESTE,1,1,2018
Senador Rui Palmeira,AL,NORDESTE,1,1,2018
União Dos Palmares,AL,NORDESTE,4,1,2018
Arapiraca,AL,NORDESTE,5,1,2018
Barra De Santo Antônio,AL,NORDESTE,3,1,2018
Batalha,AL,NORDESTE,1,1,2018
Boca Da Mata,AL,NORDESTE,1,1,2018
Cajueiro,AL,NORDESTE,1,1,2018
Campo Alegre,AL,NORDESTE,2,1,2018
Carneiros,AL,NORDESTE,2,1,2018
Colônia Leopoldina,AL,NORDESTE,1,1,2018
Coruripe,AL,NORDESTE,2,1,2018
Delmiro Gouveia,AL,NORDESTE,1,1,2018
Ibateguara,AL,NORDESTE,2,1,2018
Igaci,AL,NORDESTE,1,1,2018
Jacaré Dos Homens,AL,NORDESTE,1,1,2018
Japaratinga,AL,NORDESTE,1,1,2018
Lagoa Da Canoa,AL,NORDESTE,1,1,2018
Maceió,AL,NORDESTE,2,1,2018
Maceió,AL,NORDESTE,23,1,2018
Maragogi,AL,NORDESTE,3,1,2018
Marechal Deodoro,AL,NORDESTE,3,1,2018
Mata Grande,AL,NORDESTE,1,1,2018
Murici,AL,NORDESTE,2,1,2018
Palmeira Dos Índios,AL,NORDESTE,2,1,2018
Palmeira Dos Índios,AL,NORDESTE,4,1,2018
Pariconha,AL,NORDESTE,1,1,2018
Paripueira,AL,NORDESTE,1,1,2018
Paulo Jacinto,AL,NORDESTE,1,1,2018
Penedo,AL,NORDESTE,3,1,2018
Pilar,AL,NORDESTE,2,1,2018
Porto Calvo,AL,NORDESTE,2,1,2018
Rio Largo,AL,NORDESTE,5,1,2018
Roteiro,AL,NORDESTE,1,1,2018
Santana Do Ipanema,AL,NORDESTE,2,1,2018
São Brás,AL,NORDESTE,2,1,2018
São Luís Do Quitunde,AL,NORDESTE,1,1,2018
São Miguel Dos Campos,AL,NORDESTE,3,1,2018
São Miguel Dos Milagres,AL,NORDESTE,1,1,2018
São Sebastião,AL,NORDESTE,1,1,2018
Satuba,AL,NORDESTE,2,1,2018
União Dos Palmares,AL,NORDESTE,2,1,2018
Arapiraca,AL,NORDESTE,6,1,2018
Atalaia,AL,NORDESTE,1,1,2018
Atalaia,AL,NORDESTE,2,1,2018
Cacimbinhas,AL,NORDESTE,1,1,2018
Cajueiro,AL,NORDESTE,1,1,2018
Campo Alegre,AL,NORDESTE,2,1,2018
Canapi,AL,NORDESTE,1,1,2018
Colônia Leopoldina,AL,NORDESTE,2,1,2018
Delmiro Gouveia,AL,NORDESTE,1,1,2018
Estrela De Alagoas,AL,NORDESTE,1,1,2018
Feira Grande,AL,NORDESTE,1,1,2018
Flexeiras,AL,NORDESTE,1,1,2018
Igaci,AL,NORDESTE,1,1,2018
Igreja Nova,AL,NORDESTE,1,1,2018
Joaquim Gomes,AL,NORDESTE,1,1,2018
Junqueiro,AL,NORDESTE,1,1,2018
Maceió,AL,NORDESTE,15,1,2018
Maragogi,AL,NORDESTE,3,1,2018
Marechal Deodoro,AL,NORDESTE,2,1,2018
Olho D Água Das Flores,AL,NORDESTE,2,1,2018
Pão De Açúcar,AL,NORDESTE,3,1,2018
Passo De Camaragibe,AL,NORDESTE,3,1,2018
Penedo,AL,NORDESTE,2,1,2018
Pilar,AL,NORDESTE,1,1,2018
Piranhas,AL,NORDESTE,1,1,2018
Poço Das Trincheiras,AL,NORDESTE,2,1,2018
Rio Largo,AL,NORDESTE,2,1,2018
Rio Largo,AL,NORDESTE,2,1,2018
Santana Do Ipanema,AL,NORDESTE,1,1,2018
São José Da Tapera,AL,NORDESTE,1,1,2018
São Miguel Dos Campos,AL,NORDESTE,2,1,2018
São Sebastião,AL,NORDESTE,2,1,2018
Tanque D Arca,AL,NORDESTE,1,1,2018
Traipu,AL,NORDESTE,1,1,2018
União Dos Palmares,AL,NORDESTE,3,1,2018
Arapiraca,AL,NORDESTE,5,1,2018
Batalha,AL,NORDESTE,1,1,2018
Branquinha,AL,NORDESTE,1,1,2018
Campo Grande,AL,NORDESTE,1,1,2018
Capela,AL,NORDESTE,1,1,2018
Colônia Leopoldina,AL,NORDESTE,1,1,2018
Coruripe,AL,NORDESTE,2,1,2018
Craíbas,AL,NORDESTE,1,1,2018
Delmiro Gouveia,AL,NORDESTE,1,1,2018
Feira Grande,AL,NORDESTE,1,1,2018
Flexeiras,AL,NORDESTE,1,1,2018
Inhapi,AL,NORDESTE,2,1,2018
Joaquim Gomes,AL,NORDESTE,3,1,2018
Lagoa Da Canoa,AL,NORDESTE,1,1,2018
Maceió,AL,NORDESTE,21,1,2018
Maceió,AL,NORDESTE,2,1,2018
Marechal Deodoro,AL,NORDESTE,2,1,2018
Matriz De Camaragibe,AL,NORDESTE,1,1,2018
Minador Do Negrão,AL,NORDESTE,2,1,2018
Murici,AL,NORDESTE,1,1,2018
Olho D Água Das Flores,AL,NORDESTE,1,1,2018
Palmeira Dos Índios,AL,NORDESTE,1,1,2018
Paulo Jacinto,AL,NORDESTE,2,1,2018
Penedo,AL,NORDESTE,1,1,2018
Piranhas,AL,NORDESTE,3,1,2018
Porto Calvo,AL,NORDESTE,3,1,2018
Rio Largo,AL,NORDESTE,4,1,2018
Santa Luzia Do Norte,AL,NORDESTE,1,1,2018
São José Da Laje,AL,NORDESTE,1,1,2018
São Luís Do Quitunde,AL,NORDESTE,1,1,2018
São Miguel Dos Campos,AL,NORDESTE,2,1,2018
São Sebastião,AL,NORDESTE,1,1,2018
União Dos Palmares,AL,NORDESTE,2,1,2018
Viçosa,AL,NORDESTE,2,1,2018
Arapiraca,AL,NORDESTE,4,1,2018
Atalaia,AL,NORDESTE,2,1,2018
Batalha,AL,NORDESTE,1,1,2018
Boca Da Mata,AL,NORDESTE,1,1,2018
Branquinha,AL,NORDESTE,1,1,2018
Cajueiro,AL,NORDESTE,1,1,2018
Campo Alegre,AL,NORDESTE,1,1,2018
Canapi,AL,NORDESTE,1,1,2018
Capela,AL,NORDESTE,1,1,2018
Colônia Leopoldina,AL,NORDESTE,2,1,2018
Coruripe,AL,NORDESTE,2,1,2018
Delmiro Gouveia,AL,NORDESTE,2,1,2018
Delmiro Gouveia,AL,NORDESTE,1,1,2018
Girau Do Ponciano,AL,NORDESTE,2,1,2018
